html_file,group,url,domain,ip_address,product,version,cpe,cpe23,components,ssh_key,ssh_kex,ssh_mac,ssh_cipher,ssl_ja3s,ssl_jarm,ssl_fingerprint,hostnames,domains,vulns,tags,server,asn_x,org_x,isp,country_code,region_code,ssl_issuer,ssl_subject,shodan_ports,shodan_vulns,org_y,asn_y,country,internetdb_ports,internetdb_vulns,internetdb_tags,asn,org,cve_list
spacebears_20250522_page1.html,spacebears,https://curewellpharmacy.com,curewellpharmacy.com,104.21.16.1,,,,,,,,,,93546012d50bbfdd5a94bc6b31fcafea,00000000000000000000000000000000000000000000000000000000000000,05c4e6f37e8c0124f577d4c0bbf2b74db2eb9ab46ea0366c258e99b62e5c1526,"sbg.life, gahe.com, rivertownanimalhospital.com","sbg.life, gahe.com, rivertownanimalhospital.com",,cdn,cloudflare,AS13335,"Cloudflare, Inc.","Cloudflare, Inc.",US,CA,"{""C"": ""US"", ""CN"": ""WE1"", ""O"": ""Google Trust Services""}","{""CN"": ""sbg.life""}","[2096, 2082, 2083, 2052, 2086, 2087, 2095, 80, 8880, 8080, 8443, 443]",[],"Cloudflare, Inc.",AS13335,US,"[80, 443, 2082, 2083, 2086, 2087, 2095, 2096, 8080, 8443, 8880]",[],['cdn'],AS13335,"Cloudflare, Inc.",[]
spacebears_20250522_page1.html,spacebears,https://4motive.nl,4motive.nl,35.214.208.116,MySQL,8.0.39-30,cpe:/a:oracle:mysql:8.0.39-30,cpe:2.3:a:oracle:mysql:8.0.39-30,"jQuery, jQuery Mobile, reCAPTCHA, jQuery Migrate, FitVids.JS, Gravity Forms, Google Tag Manager, Swiper, MySQL, WordPress, PHP, Complianz, Easy Pie Chart",,,,,574866101f64002c6421cc329e4d5458,29d29d15d29d29d00042d42d000000a5308aa908d3edc2392a602b7adac57a,2449b32ce9759d75303b986aa5248380c51a5e815007873ea95a46d3356ced09,"116.208.214.35.bc.googleusercontent.com, c-meonline.com, gnldm1085.siteground.biz, www.c-meonline.com","siteground.biz, c-meonline.com, googleusercontent.com",,"database, cloud, starttls",nginx,AS19527,Google LLC,Google LLC,NL,GR,"{""C"": ""US"", ""CN"": ""R10"", ""O"": ""Let's Encrypt""}","{""CN"": ""gnldm1085.siteground.biz""}","[993, 995, 587, 143, 80, 465, 5432, 443]",[],Google LLC,AS19527,NL,"[80, 143, 443, 465, 587, 993, 995, 3306, 5432]",[],"['cloud', 'database', 'starttls']",AS19527,Google LLC,[]
spacebears_20250522_page1.html,spacebears,http://www.firstchoicecourier.ca,firstchoicecourier.ca,69.49.101.71,,,,,,,,,,93546012d50bbfdd5a94bc6b31fcafea,00000000000000000000000000000000000000000000000000000000000000,ea0952b340811b1e06408f988626fd1dc15d1c92fca3f974f247218a35e08db8,"hostedc12.megawebservers.com, bakercomputers.com, www.bakercomputers.com","bakercomputers.com, megawebservers.com",,,,AS14116,Internet Names For Business Inc.,Internet Names For Business Inc.,CA,ON,"{""C"": ""US"", ""CN"": ""Network Solutions RSA DV SSL CA 3"", ""O"": ""Network Solutions L.L.C.""}","{""CN"": ""www.bakercomputers.com""}","[80, 443, 21]",[],Internet Names For Business Inc.,AS14116,CA,"[21, 80, 443]",[],[],AS14116,Internet Names For Business Inc.,[]
spacebears_20250522_page1.html,spacebears,https://www.nedvedarchitekti.cz,nedvedarchitekti.cz,81.2.194.244,Apache httpd,,"cpe:/a:apache:http_server, cpe:/a:mysql:mysql, cpe:/a:php:php, cpe:/a:wordpress:wordpress, cpe:/a:wpml:wpml:4.4.12::~~~wordpress~~","cpe:2.3:a:apache:http_server, cpe:2.3:a:mysql:mysql, cpe:2.3:a:php:php, cpe:2.3:a:wordpress:wordpress, cpe:2.3:a:wpml:wpml:4.4.12:*:*:*:*:wordpress","reCAPTCHA, Contact Form 7, Google Tag Manager, WordPress, MySQL, Yoast SEO, PHP, WP Fastest Cache, WPML",,,,,ccc514751b175866924439bdbb5bba34,29d29d15d29d29d00029d29d29d29d487dfc3734968073f786f66dcf4de1b2,8df117c51ee60af01ec655f76585e2f583bb68252e14b93361fcea04eeeaa567,"244.194.forpsi.net, kowag.cz","forpsi.net, kowag.cz",,,Apache,AS24806,webhosting services,"INTERNET CZ, a.s.",CZ,10,"{""C"": ""IT"", ""L"": ""Ponte San Pietro"", ""CN"": ""Actalis Domain Validation Server CA G3"", ""O"": ""Actalis S.p.A."", ""ST"": ""Bergamo""}","{""CN"": ""*.kowag.cz""}","[80, 443]",[],webhosting services,AS24806,CZ,"[80, 443]",[],[],AS24806,webhosting services,[]
spacebears_20250522_page1.html,spacebears,https://en.evertech.com.tw,en.evertech.com.tw,144.48.143.151,WHM,4.98.1,cpe:/a:cpanel:whm,cpe:2.3:a:cpanel:whm,,,,,,758945630046fd37070521b8544d1fe8,15d2ad16d29d29d00015d2ad15d29de87e6567d901388794cb6a875a1928aa,86f402b4a48651f0e623a615a6122f908c0f408c9805b2a991dd3c08f0bde1e3,"cpanel.cancer-care.com.tw, www.cancer-care.com.tw, mail.cancer-care.com.tw, s144-48-143-151.ap-east.sugarhosts.net, webmail.bestsupportshop.com, cpcontacts.cancer-care.com.tw, webdisk.bestsupportshop.com, mail.bestsupportshop.com, cancer-care.com.tw, www.cancer-care.bestsupportshop.com, cancer-care.bestsupportshop.com, bestsupportshop.com, dogfish.safesugar.net, webmail.cancer-care.com.tw, www.bestsupportshop.com, cpcontacts.bestsupportshop.com, cpcalendars.cancer-care.com.tw, webdisk.cancer-care.com.tw, cpcalendars.bestsupportshop.com, cpanel.bestsupportshop.com","bestsupportshop.com, cancer-care.com.tw, sugarhosts.net, safesugar.net","CVE-2021-32790, CVE-2024-9944, CVE-2022-0775, CVE-2019-20891, CVE-2021-24323, CVE-2024-25117, CVE-2020-29156, CVE-2023-52222, CVE-2013-2220, CVE-2022-4900, CVE-2022-2099, CVE-2007-3205, CVE-2024-5458","eol-product, starttls",,AS135343,Magic Particle Limited,Magic Particle Limited,HK,,"{""C"": ""US"", ""CN"": ""R10"", ""O"": ""Let's Encrypt""}","{""CN"": ""dogfish.safesugar.net""}","[2082, 995, 2086, 25000, 587, 10050, 2095, 80, 443, 2077]","['CVE-2016-20012', 'CVE-2017-15906', 'CVE-2025-26465', 'CVE-2024-25117', 'CVE-2007-2768', 'CVE-2007-3205', 'CVE-2024-5458', 'CVE-2020-14145', 'CVE-2021-41617', 'CVE-2013-2220', 'CVE-2022-4900', 'CVE-2019-6111', 'CVE-2019-6110', 'CVE-2018-20685', 'CVE-2018-15473', 'CVE-2020-15778', 'CVE-2018-15919', 'CVE-2023-51385', 'CVE-2008-3844', 'CVE-2021-36368', 'CVE-2023-51767', 'CVE-2023-48795', 'CVE-2023-38408', 'CVE-2019-6109']",Magic Particle Limited,AS135343,HK,"[80, 443, 587, 2082, 2086, 2087, 2095, 10050, 25000]","['CVE-2020-14145', 'CVE-2018-15919', 'CVE-2020-15778', 'CVE-2018-20685', 'CVE-2007-2768', 'CVE-2024-5458', 'CVE-2016-20012', 'CVE-2025-26465', 'CVE-2019-6111', 'CVE-2013-2220', 'CVE-2021-41617', 'CVE-2008-3844', 'CVE-2007-3205', 'CVE-2023-48795', 'CVE-2017-15906', 'CVE-2023-38408', 'CVE-2023-51385', 'CVE-2019-6110', 'CVE-2022-4900', 'CVE-2024-25117', 'CVE-2019-6109', 'CVE-2021-36368', 'CVE-2018-15473', 'CVE-2023-51767']","['starttls', 'eol-product']",AS135343,Magic Particle Limited,"['CVE-2021-32790', 'CVE-2021-24323', 'CVE-2022-4900', 'CVE-2022-2099', 'CVE-2017-15906', 'CVE-2013-2220', 'CVE-2007-2768', 'CVE-2019-6111', 'CVE-2020-14145', 'CVE-2008-3844', 'CVE-2020-29156', 'CVE-2016-20012', 'CVE-2025-26465', 'CVE-2021-41617', 'CVE-2019-6110', 'CVE-2024-25117', 'CVE-2018-20685', 'CVE-2023-51767', 'CVE-2019-20891', 'CVE-2007-3205', 'CVE-2018-15473', 'CVE-2024-5458', 'CVE-2018-15919', 'CVE-2023-38408', 'CVE-2023-52222', 'CVE-2020-15778', 'CVE-2023-48795', 'CVE-2022-0775', 'CVE-2019-6109', 'CVE-2023-51385', 'CVE-2021-36368', 'CVE-2024-9944']"
spacebears_20250522_page1.html,spacebears,https://www.xn--viuelasabogados-zqb.es,xn--viuelasabogados-zqb.es,82.223.111.202,Postfix smtpd,7.4,"cpe:/a:parallels:parallels_plesk_panel, cpe:/a:prototypejs:prototype","cpe:2.3:a:parallels:parallels_plesk_panel, cpe:2.3:a:prototypejs:prototype","Prototype, RequireJS, Plesk","AAAAB3NzaC1yc2EAAAADAQABAAABAQCwyRcGxRHSPjDKBJdW5WKuagSg2REz5Dqyy6snYWa06fhf
g72TQ2jr3XpaAw4cbgIpf6g6ildRQBTZlSf6LbTuNWihZDiZ48DiIkaY0nSICmZt/OyMqNV8uG9T
pFm0nNjOs3nuJBiLRpXEz64i4McnEPEZjSy7R5390cYh4gCkHIaa3fj2m02VQlsyLGtj6IcDIgXK
y+N81OULJE5uEJBOES2ee+ZTITp/+Mt8V38B9GanL8HAXmMFCCvOBgpM0OtION75cqqDtJNmLC56
lJSduyPSnVkj4gogb94KqRbdvjUObsBCYdNMkWOI1yKQvVjezTjMBVpRQDyD1RgnrW5r
","curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group-exchange-sha1, diffie-hellman-group14-sha256, diffie-hellman-group14-sha1, diffie-hellman-group1-sha1","umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1",aes128-ctr,758945630046fd37070521b8544d1fe8,2ad2ad0002ad2ad22c2ad2ad2ad2ad82dd9826038a47b4067081c4ad812700,a34ceda2203c8b2b0e1aca97ca36bf7465f9cd7508e2f024ea428c069b42983d,ojorojoserver.com,ojorojoserver.com,"CVE-2023-51385, CVE-2016-20012, CVE-2018-15919, CVE-2017-15906, CVE-2021-36368, CVE-2025-26465, CVE-2023-51767, CVE-2018-20685, CVE-2018-15473, CVE-2020-14145, CVE-2020-15778, CVE-2023-48795, CVE-2023-38408, CVE-2007-2768, CVE-2008-3844, CVE-2019-6111, CVE-2019-6110, CVE-2021-41617, CVE-2025-32728, CVE-2019-6109","self-signed, starttls",sw-cp-server,AS8560,arsys.es,IONOS SE,ES,NC,"{""C"": ""US"", ""CN"": ""R10"", ""O"": ""Let's Encrypt""}","{""CN"": ""ojorojoserver.com""}","[8443, 587, 110, 80, 465, 21, 22, 25, 443, 53]","['CVE-2023-51385', 'CVE-2016-20012', 'CVE-2018-15919', 'CVE-2017-15906', 'CVE-2021-36368', 'CVE-2025-26465', 'CVE-2023-51767', 'CVE-2018-20685', 'CVE-2018-15473', 'CVE-2020-14145', 'CVE-2020-15778', 'CVE-2023-48795', 'CVE-2023-38408', 'CVE-2007-2768', 'CVE-2008-3844', 'CVE-2019-6111', 'CVE-2019-6110', 'CVE-2021-41617', 'CVE-2025-32728', 'CVE-2019-6109']",arsys.es,AS8560,ES,"[21, 22, 25, 53, 80, 110, 443, 465, 587, 8443]","['CVE-2025-32728', 'CVE-2020-14145', 'CVE-2018-15919', 'CVE-2020-15778', 'CVE-2018-20685', 'CVE-2007-2768', 'CVE-2016-20012', 'CVE-2025-26465', 'CVE-2019-6111', 'CVE-2021-41617', 'CVE-2008-3844', 'CVE-2023-48795', 'CVE-2017-15906', 'CVE-2023-38408', 'CVE-2023-51385', 'CVE-2019-6110', 'CVE-2019-6109', 'CVE-2021-36368', 'CVE-2018-15473', 'CVE-2023-51767']","['self-signed', 'starttls']",AS8560,arsys.es,"['CVE-2017-15906', 'CVE-2007-2768', 'CVE-2019-6111', 'CVE-2020-14145', 'CVE-2008-3844', 'CVE-2016-20012', 'CVE-2025-26465', 'CVE-2021-41617', 'CVE-2019-6110', 'CVE-2018-20685', 'CVE-2023-51767', 'CVE-2018-15473', 'CVE-2025-32728', 'CVE-2018-15919', 'CVE-2023-38408', 'CVE-2020-15778', 'CVE-2023-48795', 'CVE-2019-6109', 'CVE-2023-51385', 'CVE-2021-36368']"
spacebears_20250522_page1.html,spacebears,https://3pcorp.com.au,3pcorp.com.au,34.202.63.170,,,,,"Google Analytics, Google Tag Manager",,,,,8a17b6c8d5c6e1711cb236cc77aaa388,16d16d16d2ad16d00016d16d16d16d98e80e48f5b29c890b10e350ffe07c20,f817061d45495710efa53070b3281a5ecee74fdb42569e533b16ed112a169ee4,"ec2-34-202-63-170.compute-1.amazonaws.com, buildyourarmy.com","buildyourarmy.com, amazonaws.com",,cloud,,AS14618,Amazon Technologies Inc.,"Amazon.com, Inc.",US,VA,"{""C"": ""US"", ""CN"": ""R10"", ""O"": ""Let's Encrypt""}","{""CN"": ""*.buildyourarmy.com""}","[80, 1080, 443]",[],Amazon Technologies Inc.,AS14618,US,"[80, 443, 1080]",[],['cloud'],AS14618,Amazon Technologies Inc.,[]
spacebears_20250522_page1.html,spacebears,http://icorona.mx/en/index.html,icorona.mx,166.62.72.99,Apache httpd,,cpe:/a:apache:http_server,cpe:2.3:a:apache:http_server,,,,,,ec74a5c51106f0419184d0dd08fb05bc,2ad2ad16d2ad2ad0002ad2ad2ad2ad783c15df386a8f7b030295f1ff4c2373,4163ac1ddf782c36218f1e606b43a0a0f01be6a01138b7006de288a89cfc350d,"99.72.62.166.host.secureserver.net, webdisk.dopvision.com, dopvision.com, mail.dopvision.com, webmail.dopvision.com, cpcontacts.dopvision.com, cpanel.dopvision.com, cpcalendars.dopvision.com, autodiscover.dopvision.com, www.dopvision.com","secureserver.net, dopvision.com",,self-signed,,AS26496,"GoDaddy.com, LLC","GoDaddy.com, LLC",US,AZ,"{""CN"": ""dopvision.com""}","{""CN"": ""dopvision.com""}","[80, 443, 2077]",[],"GoDaddy.com, LLC",AS26496,US,"[80, 443, 2077]",[],['self-signed'],AS26496,"GoDaddy.com, LLC",[]
spacebears_20250522_page1.html,spacebears,https://www.whittakercpas.com,whittakercpas.com,199.60.103.32,CloudFlare,,,,,,,,,93546012d50bbfdd5a94bc6b31fcafea,00000000000000000000000000000000000000000000000000000000000000,bd9fc63df86e7862bd5b1bebd465fd361fe766cb13130d8956592ad773508c31,iqnavigator.com,iqnavigator.com,,cdn,cloudflare,AS209242,"HubSpot, Inc.","Cloudflare London, LLC",IE,L,"{""C"": ""US"", ""CN"": ""DigiCert Global G2 TLS RSA SHA256 2020 CA1"", ""O"": ""DigiCert Inc""}","{""C"": ""US"", ""ST"": ""Florida"", ""CN"": ""*.iqnavigator.com"", ""O"": ""BEELINE.COM, LLC"", ""L"": ""Jacksonville""}","[2096, 2082, 2083, 2052, 2086, 2087, 80, 8880, 8080, 8443, 443]",[],"HubSpot, Inc.",AS209242,IE,"[80, 443, 2052, 2082, 2083, 2086, 2087, 2096, 8080, 8443, 8880]",[],['cdn'],AS209242,"HubSpot, Inc.",[]
spacebears_20250522_page1.html,spacebears,https://sterling-group.com,sterling-group.com,149.28.240.188,nginx,8.4p1 Debian 5+deb11u5,"cpe:/a:f5:nginx, cpe:/a:jquery:jquery, cpe:/a:mysql:mysql, cpe:/a:php:php, cpe:/a:wordpress:wordpress","cpe:2.3:a:f5:nginx, cpe:2.3:a:jquery:jquery, cpe:2.3:a:mysql:mysql, cpe:2.3:a:php:php, cpe:2.3:a:wordpress:wordpress","EWWW Image Optimizer, jQuery, CookieYes, Font Awesome, reCAPTCHA, jQuery Migrate, Contact Form 7, OWL Carousel, Google Tag Manager, WordPress, Akismet, MySQL, Magnific Popup, PHP","AAAAB3NzaC1yc2EAAAADAQABAAABAQDdPTzUicoJ111LZeexxmQwphU9WsHE90papaCe/fKFZBO2
whsqRc38/a2f+jB/sRvUQIYf6u+umxVYpdqrYQUNdNo87UOUGTUNE5ZI2EGpkzMAgv1Wtzrk8uI0
Eos1tsN9JWYw1KG+5Sq7eF/GSUOjOYbrXRTHx9+oYU1wGpCPDyCzCCaPjj69x3cnyokwkvL/2SCB
wweZ2XpWtEin5mfdOm7YXsPuWREcEuhvvfWLJKv4wCIk0lDWopeQxoQIitT1RXPVO6A9DrDfS3kZ
mRar+gIO7DNP65zfREP5zvYEEnrvF0pp+vKPD+C6EZT6Ozb7HY39AbO+jLksGmas69Ef
","curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group14-sha256, kex-strict-s-v00@openssh.com","umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1",aes128-ctr,574866101f64002c6421cc329e4d5458,2ad2ad16d2ad2ad00042d42d000000df133019600a83abfb096ff3e86cd79d,9b73cb7f83ccd84eae7b99d7adfe7db4e3adf05b7b7e26d9a533b093c500e7cc,"149.28.240.188.vultrusercontent.com, www.lufkin.com, lufkin.com","vultrusercontent.com, lufkin.com",,cloud,nginx,AS20473,"Vultr Holdings, LLC","The Constant Company, LLC",US,TX,"{""C"": ""US"", ""CN"": ""R10"", ""O"": ""Let's Encrypt""}","{""CN"": ""lufkin.com""}","[80, 443, 22]",[],"Vultr Holdings, LLC",AS20473,US,"[22, 80, 443]",[],['cloud'],AS20473,"Vultr Holdings, LLC",[]
