html_file,group,url,ip_address,product,version,cpe,cpe23,components,ssh_key,ssh_kex,ssh_mac,ssh_cipher,ssl_ja3s,ssl_jarm,ssl_fingerprint,hostnames,domains,vulns,tags,server,asn,org,isp,country_code,region_code,ssl_issuer,ssl_subject
braincipher_20250511_page3.html,unknown,iycsa.com,213.186.33.4,,,cpe:/a:php:php:5.6,cpe:2.3:a:php:php:5.6,,,,,,574866101f64002c6421cc329e4d5458,2ad2ad0002ad2ad00042d42d0000000464fb8c6842ac133bede81390a48134,2b69cbf044336ca248fd38fb715138c0fe88b0485ba3ea3f0b466fbafbfc19c5,"cluster003.ovh.net, www.polycoq.com, polycoq.com","ovh.net, polycoq.com",,eol-product,OVHcloud,AS16276,OVH SAS,OVH SAS,FR,HDF,"{""C"": ""US"", ""CN"": ""E6"", ""O"": ""Let's Encrypt""}","{""CN"": ""www.polycoq.com""}"
braincipher_20250511_page3.html,unknown,valedolobo.com,51.210.191.3,Exim smtpd,4.98.1,cpe:/a:exim:exim:4.98.1,cpe:2.3:a:exim:exim:4.98.1,,,,,,a9e3ed16ee3208291487c8d2aa2ad924,00000000000000000000000000000000000000000000000000000000000000,cf4e984f72a379ccf060cb2fc540f88b6f2b5e1feb1798c115c1d61ef7fd0cae,"motti.cloud.dengun.net, valedolobo.com","valedolobo.com, dengun.net",,starttls,cPanel,AS16276,OVH SAS,OVH SAS,FR,HDF,"{""C"": ""US"", ""CN"": ""R10"", ""O"": ""Let's Encrypt""}","{""CN"": ""motti.cloud.dengun.net""}"
braincipher_20250511_page3.html,unknown,ddecor.com,NO_IP_FOUND,,,,,,,,,,,,,,,,,,,,,,,,
braincipher_20250511_page3.html,unknown,mbmdubai.com,192.169.176.170,Microsoft IIS httpd,10.0,"cpe:/a:microsoft:internet_information_services, cpe:/a:microsoft:internet_information_services:10.0, cpe:/o:microsoft:windows","cpe:2.3:a:microsoft:internet_information_services, cpe:2.3:a:microsoft:internet_information_services:10.0, cpe:2.3:o:microsoft:windows","Prototype, RequireJS, Plesk",,,,,986571066668055ae9481cb84fda634a,2ad2ad16d00000022c2ad2ad2ad2ad46ff59a659b30fd8aeaa6755c67691b4,63058acf98088bd6d025eedcf4d73f5e658db8fd8811392553cc4e2796a28177,"www.lighthous.com, interesting-torvalds.192-169-176-170.plesk.page, lighthous.com, 170.176.169.192.host.secureserver.net","plesk.page, secureserver.net, lighthous.com","CVE-2019-11358, CVE-2020-7656, CVE-2015-9251, CVE-2012-6708, CVE-2020-11022, CVE-2020-11023","self-signed, starttls",Microsoft-IIS/10.0,AS26496,"GoDaddy.com, LLC","GoDaddy.com, LLC",US,AZ,"{""C"": ""US"", ""CN"": ""R10"", ""O"": ""Let's Encrypt""}","{""CN"": ""interesting-torvalds.192-169-176-170.plesk.page""}"
braincipher_20250511_page3.html,unknown,fabamaq.com,172.67.8.230,CloudFlare,,"cpe:/a:cloudflare:cloudflare, cpe:/a:getbootstrap:bootstrap, cpe:/a:jquery:jquery, cpe:/a:mysql:mysql, cpe:/a:php:php, cpe:/a:pixelyoursite:pixelyoursite:::~~~wordpress~~, cpe:/a:woocommerce:woocommerce:9.7.1::~~~wordpress~~, cpe:/a:wordpress:wordpress","cpe:2.3:a:cloudflare:cloudflare, cpe:2.3:a:getbootstrap:bootstrap, cpe:2.3:a:jquery:jquery, cpe:2.3:a:mysql:mysql, cpe:2.3:a:php:php, cpe:2.3:a:pixelyoursite:pixelyoursite:*:*:*:*:*:wordpress, cpe:2.3:a:woocommerce:woocommerce:9.7.1:*:*:*:*:wordpress, cpe:2.3:a:wordpress:wordpress",,,,,,93546012d50bbfdd5a94bc6b31fcafea,00000000000000000000000000000000000000000000000000000000000000,07d27cb3d5454fd6e118801a0a009ecfcf694d0cd215a2b84bb990b34457fb70,herd.com,herd.com,,cdn,cloudflare,AS13335,"Cloudflare, Inc.","Cloudflare, Inc.",US,CA,"{""C"": ""US"", ""CN"": ""WE1"", ""O"": ""Google Trust Services""}","{""CN"": ""herd.com""}"
braincipher_20250511_page2.html,unknown,iycsa.com,213.186.33.4,,,cpe:/a:php:php:5.6,cpe:2.3:a:php:php:5.6,,,,,,574866101f64002c6421cc329e4d5458,2ad2ad0002ad2ad00042d42d0000000464fb8c6842ac133bede81390a48134,2b69cbf044336ca248fd38fb715138c0fe88b0485ba3ea3f0b466fbafbfc19c5,"cluster003.ovh.net, www.polycoq.com, polycoq.com","ovh.net, polycoq.com",,eol-product,OVHcloud,AS16276,OVH SAS,OVH SAS,FR,HDF,"{""C"": ""US"", ""CN"": ""E6"", ""O"": ""Let's Encrypt""}","{""CN"": ""www.polycoq.com""}"
braincipher_20250511_page2.html,unknown,valedolobo.com,51.210.191.3,Exim smtpd,4.98.1,cpe:/a:exim:exim:4.98.1,cpe:2.3:a:exim:exim:4.98.1,,,,,,a9e3ed16ee3208291487c8d2aa2ad924,00000000000000000000000000000000000000000000000000000000000000,cf4e984f72a379ccf060cb2fc540f88b6f2b5e1feb1798c115c1d61ef7fd0cae,"motti.cloud.dengun.net, valedolobo.com","valedolobo.com, dengun.net",,starttls,cPanel,AS16276,OVH SAS,OVH SAS,FR,HDF,"{""C"": ""US"", ""CN"": ""R10"", ""O"": ""Let's Encrypt""}","{""CN"": ""motti.cloud.dengun.net""}"
braincipher_20250511_page2.html,unknown,ddecor.com,NO_IP_FOUND,,,,,,,,,,,,,,,,,,,,,,,,
braincipher_20250511_page2.html,unknown,mbmdubai.com,192.169.176.170,Microsoft IIS httpd,10.0,"cpe:/a:microsoft:internet_information_services, cpe:/a:microsoft:internet_information_services:10.0, cpe:/o:microsoft:windows","cpe:2.3:a:microsoft:internet_information_services, cpe:2.3:a:microsoft:internet_information_services:10.0, cpe:2.3:o:microsoft:windows","Prototype, RequireJS, Plesk",,,,,986571066668055ae9481cb84fda634a,2ad2ad16d00000022c2ad2ad2ad2ad46ff59a659b30fd8aeaa6755c67691b4,63058acf98088bd6d025eedcf4d73f5e658db8fd8811392553cc4e2796a28177,"www.lighthous.com, interesting-torvalds.192-169-176-170.plesk.page, lighthous.com, 170.176.169.192.host.secureserver.net","plesk.page, secureserver.net, lighthous.com","CVE-2019-11358, CVE-2020-7656, CVE-2015-9251, CVE-2012-6708, CVE-2020-11022, CVE-2020-11023","self-signed, starttls",Microsoft-IIS/10.0,AS26496,"GoDaddy.com, LLC","GoDaddy.com, LLC",US,AZ,"{""C"": ""US"", ""CN"": ""R10"", ""O"": ""Let's Encrypt""}","{""CN"": ""interesting-torvalds.192-169-176-170.plesk.page""}"
braincipher_20250511_page2.html,unknown,fabamaq.com,104.22.46.72,CloudFlare,,"cpe:/a:cloudflare:cloudflare, cpe:/a:getbootstrap:bootstrap, cpe:/a:jquery:jquery, cpe:/a:mysql:mysql, cpe:/a:php:php, cpe:/a:pixelyoursite:pixelyoursite:::~~~wordpress~~, cpe:/a:woocommerce:woocommerce:9.7.1::~~~wordpress~~, cpe:/a:wordpress:wordpress","cpe:2.3:a:cloudflare:cloudflare, cpe:2.3:a:getbootstrap:bootstrap, cpe:2.3:a:jquery:jquery, cpe:2.3:a:mysql:mysql, cpe:2.3:a:php:php, cpe:2.3:a:pixelyoursite:pixelyoursite:*:*:*:*:*:wordpress, cpe:2.3:a:woocommerce:woocommerce:9.7.1:*:*:*:*:wordpress, cpe:2.3:a:wordpress:wordpress",,,,,,93546012d50bbfdd5a94bc6b31fcafea,00000000000000000000000000000000000000000000000000000000000000,07d27cb3d5454fd6e118801a0a009ecfcf694d0cd215a2b84bb990b34457fb70,herd.com,herd.com,,cdn,cloudflare,AS13335,"Cloudflare, Inc.","Cloudflare, Inc.",US,CA,"{""C"": ""US"", ""CN"": ""WE1"", ""O"": ""Google Trust Services""}","{""CN"": ""herd.com""}"
